State,Bill,ISSUE ,Status,Status Detail
Alaska,HB 27,Schools & Education,Advancing,"Referred to committee, 01/19/2023"
Alaska,HB 105,Schools & Education,Advancing,"First read and referred to committee, 03/08/2023"
Alaska,SB 96,Schools & Education,Advancing,"First read and referred to committee, 03/08/2023"
Arizona,SB 1028,Free Speech & Expression,Advancing,"Passed Senate; House hearing, 03/29/2023"
Arizona,SB 1026,Free Speech & Expression,Advancing,"Passed Senate; House second read, 03/09/2023"
Arizona,SB 1001,"Schools & Education, Civil Rights",Advancing,"Passed Senate; House committee hearing, 04/03/2023"
Arizona,SB 1030,Free Speech & Expression,Advancing,"Passed Senate; House hearing, 03/29/2023"
Arizona,SB 1040,Schools & Education,Advancing,"Passed Senate; House committee hearing, 03/28/2023"
Arizona,SB 1702,Healthcare,Advancing,"Second read, 02/02/2023"
Arizona,SB 1700,Schools & Education,Advancing,"Passed Senate; House second read, 03/22/2023"
Arizona,SB 1698,Free Speech & Expression,Advancing,"Passed Senate; House second read, 03/08/2023"
Arizona,SB 1417,Other Anti-LGBTQ Bills,Advancing,"Passed Senate; House second read, 02/28/2023"
Arizona,SB 1694,Other Anti-LGBTQ Bills,Advancing,"Passed Senate; House hearing, 03/29/2023"
Arizona,HB 2711,Schools & Education,Advancing,"Second read, 02/08/2023"
Arkansas,HB 1156,Schools & Education,Passed into Law,"Enacted, 03/21/2023"
Arkansas,SB 43,Free Speech & Expression,Passed into Law,"Became law, 02/27/2023"
Arkansas,SB 125,Schools & Education,Advancing,"Passed Senate; House second read and referred to committee, 03/28/2023"
Arkansas,SB 199,Healthcare,Passed into Law,"Became act without Governor’s signature, 03/16/2023"
Arkansas,SB 270,"Public Accommodations, Other Anti-LGBTQ Bills",Advancing,"Passed House as amended; Senate rereferred to committee, 03/31/2023"
Arkansas,HB 1468,Schools & Education,Advancing,"Passed House; Senate committee passed, 03/29/2023"
Arkansas,SB 294,Schools & Education,Passed into Law,"Became act without Governor's signature, 03/14/2023"
Arkansas,HB 1615,Civil Rights,Advancing,"Committee recommends passage, 03/30/2023"
Arkansas,HB 1738,Schools & Education,Advancing,"Second read and referred to committee, 03/28/2023"
California,AB 1314,Schools & Education,Advancing,"Re-referred to committee, 03/13/2023"
Colorado,HB 23-1098,Schools & Education,Defeated,"Postponed indefinitely by committee, 02/13/2023"
Connecticut,HB 6213,Schools & Education,Advancing,"Referred to committee, 01/19/2023"
Connecticut,SB 468,Schools & Education,Advancing,"Referred to committee, 01/18/2023"
Florida,HB 991,Other Anti-LGBTQ Bills,Advancing,"Referred to committee, 03/14/2023"
Florida,HB 1069,Schools & Education,Advancing,"Second read, 03/30/2023"
Florida,HB 1223,Schools & Education,Advancing,"Referred to committee, 03/16/2023"
Florida,SB 1320,Schools & Education,Advancing,"Referred to committee as amended, 03/22/2023"
Florida,HB 999,"Schools & Education, Free Speech & Expression",Advancing,"Referred to committee, 03/16/2023"
Florida,SB 266,"Schools & Education, Free Speech & Expression",Advancing,"First read as amended, 03/21/2023"
Florida,SB 254,"Healthcare, Other Anti-LGBTQ Bills",Advancing,"Placed on Special Order Calendar, 04/03/2023"
Florida,HB 1421,"Healthcare, Civil Rights, Accurate IDs",Advancing,"Referred to House and second reading calendars, 03/29/2023"
Florida,SB 1674,"Public Accommodations, Schools & Education, Other Anti-LGBTQ Bills",Advancing,"Reported favorably and referred to committee, 03/30/2023"
Florida,HB 1521,"Public Accommodations, Other Anti-LGBTQ Bills",Advancing,"Subcommittee substitute first read, 03/30/2023"
Georgia,SB 88,Schools & Education,Advancing,"Senate read and referred, 02/06/2023"
Georgia,SB 141,"Healthcare, Schools & Education",Advancing,"First read and referred to committee, 02/13/2023"
Georgia,SB 140,Healthcare,Passed into Law,"Governor signed, 03/23/2023"
Georgia,SB 180,Civil Rights,Advancing,"First read and referred to committee, 02/15/2023"
Georgia,HB 653,"Healthcare, Schools & Education",Advancing,"House second read, 03/06/2023"
Hawaii,HB 509,Schools & Education,Advancing,"Referred to committee, 01/27/2023"
Hawaii,HB 508,Schools & Education,Advancing,"Referred to committee, 01/27/2023"
Hawaii,HB 891,Healthcare,Advancing,"Referred to committee, 01/30/2023"
Hawaii,SB 1429,Schools & Education,Advancing,"Referred to committee, 01/30/2023"
Idaho,S 1003,Other Anti-LGBTQ Bills,Advancing,"Referred to committee, 01/17/2023"
Idaho,SB 1016,Public Accommodations,Passed into Law,"Governor signed, 03/27/2023"
Idaho,HB 71,Healthcare,Advancing,"Passed House and Senate; delivered to Governor, 03/30/2023"
Idaho,SB 1100,Schools & Education,Passed into Law,"Governor signed, 03/23/2023"
Idaho,HB 63,Civil Rights,Advancing,"Passed House; Senate first read and referred to committee, 02/16/2023"
Idaho,SB 1071,Schools & Education,Advancing,"Passed Senate; House first read and referred to committee, 03/13/2023"
Idaho,HB 265,Free Speech & Expression,Advancing,"Passed House; Senate read referred to committee, 03/08/2023"
Indiana,HB 1118,Healthcare,Advancing,"First read and referred to committee, 01/10/2023"
Indiana,HB 1220,Healthcare,Advancing,"First read and referred to committee, 01/10/2023"
Indiana,HB 1231,Healthcare,Advancing,"First read and referred to committee, 01/10/2023"
Indiana,HB 1232,Healthcare,Advancing,"First read and referred to committee, 01/10/2023"
Indiana,SB 354,Schools & Education,Advancing,"First read and referred to committee, 01/12/2023"
Indiana,SB 351,Accurate IDs,Advancing,"Referred to committee, 01/12/2023"
Indiana,HB 1525,Healthcare,Advancing,"First read and referred to committee, 01/19/2023"
Indiana,SB 480,Healthcare,Advancing,"Passed Senate and House, 03/29/2023"
Indiana,HB 1407,Healthcare,Advancing,"Passed House; Senate first read and referred to committee, 03/09/2023"
Indiana,HB 1569,Healthcare,Advancing,"Passed House and Senate, 03/30/2023"
Indiana,HB 1589,Healthcare,Advancing,"First read and referred to committee, 01/19/2023"
Indiana,HB 1520,"Public Accommodations, Schools & Education",Advancing,"First read and referred to committee, 01/19/2023"
Indiana,SB 386,Schools & Education,Advancing,"First read and referred to committee, 01/19/2023"
Indiana,SB 413,Schools & Education,Advancing,"First read and referred to committee, 01/19/2023"
Indiana,HB 1608,Schools & Education,Advancing,"Passed House; Senate committee passed as amended, 03/27/2023"
Indiana,HB 1346,Schools & Education,Advancing,"Referred to committee, 01/17/2023"
